File: gateway
Type: cpu
Time: 2026-09-24 16:20:27 CST
Duration: 10.17s, Total samples = 3.79s (37.27%)
Showing nodes accounting for 3.53s, 93.14% of 3.79s total
Dropped 130 nodes (cum <= 0.02s)
Showing top 15 nodes out of 188
      flat  flat%   sum%        cum   cum%
     2.43s 64.12% 64.12%      2.43s 64.12%  syscall.rawsyscalln
     0.26s  6.86% 70.98%      0.26s  6.86%  runtime.kevent
     0.25s  6.60% 77.57%      0.25s  6.60%  runtime.pthread_cond_signal
     0.23s  6.07% 83.64%      0.23s  6.07%  runtime.pthread_cond_wait
     0.21s  5.54% 89.18%      0.21s  5.54%  runtime.usleep
     0.03s  0.79% 89.97%      0.03s  0.79%  runtime.tryDeferToSpanScan
     0.02s  0.53% 90.50%      0.02s  0.53%  runtime.madvise
     0.02s  0.53% 91.03%      0.02s  0.53%  runtime.pthread_kill
     0.02s  0.53% 91.56%      0.04s  1.06%  runtime.scanObjectsSmall
     0.01s  0.26% 91.82%      0.02s  0.53%  modernc.org/memory.(*Allocator).mmap
     0.01s  0.26% 92.08%      0.03s  0.79%  modernc.org/sqlite/lib._sqlite3MemMalloc
     0.01s  0.26% 92.35%      0.24s  6.33%  net/http.(*ServeMux).ServeHTTP
     0.01s  0.26% 92.61%      0.02s  0.53%  net/http.(*chunkWriter).writeHeader
     0.01s  0.26% 92.88%      0.26s  6.86%  net/http.serverHandler.ServeHTTP
     0.01s  0.26% 93.14%      0.02s  0.53%  runtime.(*mcentral).uncacheSpan
